Requisition,Questionnaire_for_External_Career_Sites_Reference,Questionnaire_for_Internal_Career_Site_Reference,Supervisory_Organization_Reference,Position_Reference,Spotlight_Job,Scheduled_Weekly_Hours,Time_Type_Reference,Primary_Job_Posting_Location_Reference,Primary_Location_Reference,Position_Worker_Type_Reference,Worker_Type_Reference,Job_Profile_Reference,Target_Hire_Date,Recruiting_Start_Date,Job_Requisition_Status_Reference,DateCreated_TaylorMorrisonDatalake,DateModified_TaylorMorrisonDatalake,RequisitionReason
RW1735,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051029158675dbeacd6b0e""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SoCal Division Operations""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c01119c93499270005601""},{""@wd:type"":""Position_ID"",""#text"":""WL558304""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d8cbd8e065be8""},{""@wd:type"":""Location_ID"",""#text"":""CA - Irvine""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d8cbd8e065be8""},{""@wd:type"":""Location_ID"",""#text"":""CA - Irvine""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1734,,,"[{""@wd:type"":""WID"",""#text"":""64de2ff1998301921e4ed3ebff010144""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Portland Sales Operations""}]","[{""@wd:type"":""WID"",""#text"":""47d2dda97f83017819375de6c2010d2b""},{""@wd:type"":""Position_ID"",""#text"":""WL557733""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""000e459e2320010c15526407d01f53dc""},{""@wd:type"":""Location_ID"",""#text"":""WA ? Vancouver/Portland""}]","[{""@wd:type"":""WID"",""#text"":""000e459e2320010c15526407d01f53dc""},{""@wd:type"":""Location_ID"",""#text"":""WA ? Vancouver/Portland""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301a91a8ce641630131c2""},{""@wd:type"":""Job_Profile_ID"",""#text"":""CSAWL""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1733,,,"[{""@wd:type"":""WID"",""#text"":""64de2ff1998301921e4ed3ebff010144""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Portland Sales Operations""}]","[{""@wd:type"":""WID"",""#text"":""47d2dda97f8301cc661eb5506f01f80d""},{""@wd:type"":""Position_ID"",""#text"":""WL557814""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""000e459e232001ce69f3955dd01f72dc""},{""@wd:type"":""Location_ID"",""#text"":""WA ? Bellevue/Seattle""}]","[{""@wd:type"":""WID"",""#text"":""000e459e232001ce69f3955dd01f72dc""},{""@wd:type"":""Location_ID"",""#text"":""WA ? Bellevue/Seattle""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510283dfb94d65250603e""},{""@wd:type"":""Job_Profile_ID"",""#text"":""IHC""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1732,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102915869b1c059f6b3b""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Austin Construction Operations""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e5780135d807708e6d000809""},{""@wd:type"":""Position_ID"",""#text"":""WL558284""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d67a4d48c5b8e""},{""@wd:type"":""Location_ID"",""#text"":""TX - Austin""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d67a4d48c5b8e""},{""@wd:type"":""Location_ID"",""#text"":""TX - Austin""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1731,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510291586e96dab456bb0""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Bay Area""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e578016a435c2d537300e91e""},{""@wd:type"":""Position_ID"",""#text"":""WL557997""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d905264ed5bf1""},{""@wd:type"":""Location_ID"",""#text"":""CA - Bay Area""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d905264ed5bf1""},{""@wd:type"":""Location_ID"",""#text"":""CA - Bay Area""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1730,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102915869b1c059f6b3b""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Austin Construction Operations""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e5780142482b658e6d00fc08""},{""@wd:type"":""Position_ID"",""#text"":""WL558301""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d67a4d48c5b8e""},{""@wd:type"":""Location_ID"",""#text"":""TX - Austin""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d67a4d48c5b8e""},{""@wd:type"":""Location_ID"",""#text"":""TX - Austin""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1729,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510291587938b48836bed""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Austin Purchasing""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e578015b23c8588e6d00f008""},{""@wd:type"":""Position_ID"",""#text"":""WL558229""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d67a4d48c5b8e""},{""@wd:type"":""Location_ID"",""#text"":""TX - Austin""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d67a4d48c5b8e""},{""@wd:type"":""Location_ID"",""#text"":""TX - Austin""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1728,,,"[{""@wd:type"":""WID"",""#text"":""099af8ca386801793e9c6c6cff01193c""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Information Technology Support Ops""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e57801cf232f8e24d000ee5e""},{""@wd:type"":""Position_ID"",""#text"":""WL558207""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1727,,,"[{""@wd:type"":""WID"",""#text"":""62dab921c23a106ddbd1d543bb246ee0""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SUP-ORG-156""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e57801df6fac8324d000e05e""},{""@wd:type"":""Position_ID"",""#text"":""WL557096""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1726,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510291586525a35526ae4""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SUP708787""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e57801c017e47824d000d45e""},{""@wd:type"":""Position_ID"",""#text"":""WL557369""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1725,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510291586f750c7ce6bc5""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Phoenix Sales Operations""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e57801f2aac507e37f003b44""},{""@wd:type"":""Position_ID"",""#text"":""WL558125""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1724,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510291586f5597da36bc2""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Phoenix Construction Operations""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e57801e7a1b0fde27f002f44""},{""@wd:type"":""Position_ID"",""#text"":""WL555070""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1723,,,"[{""@wd:type"":""WID"",""#text"":""b04f45911638103c3ac0218101e705ba""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Phoenix Land Operations""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e5780195aad5f2e27f002344""},{""@wd:type"":""Position_ID"",""#text"":""WL557206""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1722,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102915888c8943896cb6""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SUP709647""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e578018c331ee8e27f001944""},{""@wd:type"":""Position_ID"",""#text"":""WL557218""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff19983016798076952c700c54d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADNE""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1721,,,"[{""@wd:type"":""WID"",""#text"":""b04f45911638103c3ac0218101e705ba""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Phoenix Land Operations""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e57801f19be4dde27f000d44""},{""@wd:type"":""Position_ID"",""#text"":""WL558415""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1720,,,"[{""@wd:type"":""WID"",""#text"":""4e88f5c44fb401e1f02c63881aa54d40""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SUP-ORG-308""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e57801816855d3e27f000344""},{""@wd:type"":""Position_ID"",""#text"":""WL557291""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1719,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102915888c8943896cb6""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SUP709647""}]","[{""@wd:type"":""WID"",""#text"":""767d5105e578014ac4a2c8e27f00f943""},{""@wd:type"":""Position_ID"",""#text"":""WL558407""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff19983016798076952c700c54d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADNE""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
